Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
ALL	0.336075866602772	61.8028766659973	0	29998	0.325999708047715	0.346075675963009	Pearson's product-moment correlation	two.sided	ALL	-1.74673975325484e-15	57	200	0.67
EAS	0.263364228109454	27.2974866163366	2.62395851571228e-158	9998	0.245028987278638	0.281511149576025	Pearson's product-moment correlation	two.sided	EAS	-9.50619387894702e-15	57	200	0.67
EUR	0.692448832657442	95.9682974053928	0	9998	0.682106341014827	0.702514345926928	Pearson's product-moment correlation	two.sided	EUR	1.05871524180433e-15	57	200	0.67
AFR	0.101251679860155	10.1764538104222	3.31380771822257e-24	9998	0.0818139729609998	0.120612389748751	Pearson's product-moment correlation	two.sided	AFR	-5.41133083438103e-16	59	200	0.67
ALL	0.150796510086038	26.419968035831	4.45621073681365e-152	29998	0.13971898702858	0.16183629207948	Pearson's product-moment correlation	two.sided	ALL	-9.43538422532392e-16	59	200	0.67
EAS	0.437094621681217	48.5927690273481	0	9998	0.421102169838635	0.452815383719074	Pearson's product-moment correlation	two.sided	EAS	-6.86492054947419e-15	59	200	0.67
EUR	0.358915533687605	38.4498776786769	8.81382349085992e-302	9998	0.341719380792123	0.375871434752615	Pearson's product-moment correlation	two.sided	EUR	4.58391087132352e-15	59	200	0.67
AFR	0.0132571267134556	1.32569659509031	0.184970504416434	9998	-0.00634459187130333	0.0328486612993398	Pearson's product-moment correlation	two.sided	AFR	-2.51602319707722e-16	60	200	0.67
ALL	0.114062401234663	19.8853085975742	1.998039776246e-87	29998	0.102879249744791	0.125216721229537	Pearson's product-moment correlation	two.sided	ALL	-9.8576436049309e-17	60	200	0.67
EAS	0.00950681864560497	0.950629751359549	0.341815339225571	9998	-0.0100951324260663	0.0291014660461083	Pearson's product-moment correlation	two.sided	EAS	2.51509730197445e-17	60	200	0.67
EUR	0.602325644146733	75.4481742990378	0	9998	0.589687199970542	0.614669160668422	Pearson's product-moment correlation	two.sided	EUR	-6.78691450912636e-17	60	200	0.67
AFR	0.0876351194194222	8.79647875123096	1.64479746960255e-18	9998	0.0681521111960902	0.107051312255969	Pearson's product-moment correlation	two.sided	AFR	1.54920250347752e-15	61	200	0.67
ALL	0.173565023122355	30.5246320473628	1.49433519336679e-201	29998	0.162568375634916	0.18451855932055	Pearson's product-moment correlation	two.sided	ALL	1.39803000538298e-15	61	200	0.67
EAS	0.594478982658296	73.9225582035303	0	9998	0.581656272472352	0.607006318426531	Pearson's product-moment correlation	two.sided	EAS	-4.08273618363562e-16	61	200	0.67
EUR	0.389247193031951	42.2531951834815	0	9998	0.372488942575981	0.405751673061879	Pearson's product-moment correlation	two.sided	EUR	3.05631977788167e-15	61	200	0.67
AFR	0.369332019310761	39.7391665037068	8.82401243472466e-321	9998	0.35228209595069	0.386136870213571	Pearson's product-moment correlation	two.sided	AFR	-1.09358634886418e-15	63	200	0.67
ALL	0.370691976519531	69.1286008043122	0	29998	0.360889871310142	0.3804121909041	Pearson's product-moment correlation	two.sided	ALL	4.94407979093261e-17	63	200	0.67
EAS	0.0150891521200243	1.50893610189563	0.131346711648075	9998	-0.00451225237369297	0.034678965872169	Pearson's product-moment correlation	two.sided	EAS	1.30565951706764e-14	63	200	0.67
EUR	0.561003218189985	67.7624892395768	0	9998	0.547422442423328	0.574288581883894	Pearson's product-moment correlation	two.sided	EUR	-1.19420452219394e-14	63	200	0.67
AFR	0.0395240254074443	3.95509771327379	7.70313525742401e-05	9998	0.0199394019348875	0.0590783289839496	Pearson's product-moment correlation	two.sided	AFR	-1.12476485915856e-16	64	200	0.67
ALL	0.176873099722834	31.1250259239393	2.37438148902205e-209	29998	0.165889184369669	0.187813134609509	Pearson's product-moment correlation	two.sided	ALL	-3.95509142596594e-17	64	200	0.67
EAS	0.252011031059928	26.0390084894067	1.10956761779653e-144	9998	0.2335646381376	0.270276090193286	Pearson's product-moment correlation	two.sided	EAS	-3.041584220984e-16	64	200	0.67
EUR	0.496734176864861	57.228129477631	0	9998	0.481825168575678	0.511355675411886	Pearson's product-moment correlation	two.sided	EUR	2.9560475906811e-16	64	200	0.67
AFR	0.25683008492355	26.5717475370805	2.21202620468753e-150	9998	0.238430245990469	0.275045606247086	Pearson's product-moment correlation	two.sided	AFR	-1.48026296081794e-15	65	200	0.67
